sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
سجاد,,"پنیر زیاد ریخته بودید و مزه تلخی داشت 
کل کیفیت غذا رو برده بود",سوپر برگر (پرسی)
سیاوش,۵,خیلی خفن بود خوشمزه,پیتزا میکس (آمریکایی)
rez,۱,دیر تهویل دادن ۲ ساعته و سرد بودنه غذا,اکو کمبو چهار
مهدي,۴,من واقعا تعجب كردم روي سيب زميني چرا فلفل زديد ؟؟؟,پیتزا آفریکانا (آمریکایی)
کیان,۱,بسیار سرد به دستم رسید و اصلا کیفیت خوبی نداشت,پیتزا چانو (ایتالیایی)
نرگس,۲,مخلفات نسبت به قيمت بسيار كم بود,پیتزا چانو (ایتالیایی)
رامین,۳,پپرونیش از همش بهتر بود. توصیه میکنم پپرونی بگیرید به‌جای این.,پیتزا چهارفصل (ایتالیایی)
گل ناز,۵,مثل همیشه عالی,پیتزا پپرونی (ایتالیایی)
مرجان,,غذا که خیلی عالی ولی یک ساعت و نیم طول کشید . تاخیر زیاد بود,پیتزا چهارفصل (ایتالیایی)
مهدی,۵,سرد رسید ولی کیفیت غذا خوب بود,پیتزا پپرونی (ایتالیایی)
اميرحسين,۱,غذا سرد بود,پیتزا گوشت و قارچ (آمریکایی)
محمد امین,,"پیتزا کاملا سرد 
حجم فوق العاده کم 
مزه خمیر می داد 
روش سوخته",پیتزا گوشت و قارچ (آمریکایی)
مهراد,,گوجه خشک در سالاد موجود نبود!,سالاد سبز ویژه سیب
آیسان,۵,خیلی عالییییی بوووود,پیتزا چانو (ایتالیایی)
شیدا,۵,بسیار خوب,غذای کودک (پسرانه)
هراهات,۴,"پیتزا حدود ۴۰ دقیقه طول کشید تا رسید ولی گرم بود 
پیتزا بزرگ و دو نفزه هست
طعم خوبی داره و من باز هم از سیب سفارش میدم",نوشابه قوطی کوکاکولا
غزاله,,خمیر پیتزا عالی بود سیب زمینی خیلی خوشمزه و ترد بود در کل عالی بود,پیتزا پپرونی (آمریکایی)
armin,۴,همه چی عالی ولی حجم کم بود,پیتزا چانو (ایتالیایی)
علی,۳,"یک مقدار زمان ارسال زیاد شدش 
اگر زمان کمتر بشه غذا داغ دست مشتری میاد
اونم پیتزا که سردش اصلا مزه نمیده",نان سیر
محمود,۱,"نون خالی و قارچ و پنیرِ ، 
هر روز افتضاح تر از دیروز با پیتزا سیب ۳۶۰",پیتزا آپاچینو (آمریکایی)
پریسا,۱,پیتزا کاملا بدون کیفیت و سرد تحویل داده شد قیمت پیتزا در حد پیتزای درجه یک کیفیت در حد مینی پیتزاهای دکه ای همبرگر مخصوص بسیار بی طعم و بی کیفیت کارخانه ای       واقعا حیف پول من که اصلا راضی نبودن مطمئنا دیگه از سیب غذا سفارش نمی دم,پیتزا میکس (آمریکایی)
محسن,,"کیفیت میثل همیشه نبود
خیلی دیر رسید
دلستر هم اونی که خواستم نیاوردن!",سیب زمینی
علی,۱,توی عکس روی پیتزا خمیر نداشت ولی روی پیتزا خمیر کشیده بودن که تقریبا سوخته بود,پیتزا کالزون (آمریکایی)
مهناز,,کیفیت غذا خوب بود پیتزا میکس آمریکایی،اما نان سیر پنیرش کم بود اما طعم خوبی داشت ،غذا انقدر دیر رسید که ما حتی منصرف شدیم ،کیفیت غذا خوب اما زمان تحویل خیلی بد .,پیتزا میکس (آمریکایی)
ستاره,,سیب زمینی ارسالی اصلا پنیر  نداشت,سوپر برگر (پرسی)
آروتین,۱,امروز یک سفارش داده بودم با یک ساعت و نیم تاخیر زنگ میزنم به رستوران تازه میگن یک ربع دیگه میرسه دستتون. اگه سرتون شلوغ سفارش نگیرید. بعد تازه میگن بیاید خودتون سفارشتونو بگیرین اگه زیاد عجله دارین!!! من نمیدونم وظیفه من که غذا رو از شما بگیرم وقتی که سفارش تلفنی میدم یا وظیفه شماست نمیدونم والا. واقعاً تو زمان بندی خیلی بدن.,پیتزا پپرونی (ایتالیایی)
نوید,۱,یک ساعت و چهل و پنج دقیقه طول کشید تا یک پیتزا برسه به دستمون.,پیتزا توکیو (آمریکایی)
نازیلا,۵,بیست دقیقه زودتر از موعد رسید و‌پیتزا سبزیجات عالی بود,پیتزا سبزیجات (آمریکایی)
محیا,۲,چیز برگر کاملا له و نرم و سرد بود و غیرقابل خوردن,چیز برگر
مهسا,۴,جالب و خوشمزه بود. فقط برای اولین بار دیدم یه رستوران تو اسنپ‌فود مالیات می‌گیره.,کانتری
رسول,۱,افتضاح بود نوشابه که یادشون رفت بیاره پیتزا وسیب زمینیشم سرد بود,سیب زمینی با پنیر
خانم,۳,پیتزا گوشت و قارچ فلفل دلمه نداشت و مثل عکسش نبود. فقط قارچ داشت,پیتزا گوشت و قارچ (آمریکایی)
مريم,۲,كيفيت سابق رو نداره متاسفانه,پیتزا چیکن گورمه (ایتالیایی)
نگار,۴,غذا گرم و خوشمزه بود این دومین بار بود از اینجا سفارش میدادم خوب بود فقط این بار سس یادتون رفت بود بدید بی سس بود,پیتزا چانو (ایتالیایی)
.,۳,این‌که مسافت کوتاه رو این‌قدر پول پیک بگیره بعد پیک هم حاضر نباشه یک طبقه هم با اسانسور بیاد بالا و جعبه رو بدون پلاستیک کف اسانسور بذاره خیلی اعصاب ‌‌‌‌‌‌خوردکن و مسخره است,سیب زمینی
منصوره,۵,عالی و تازه پ به موقع,پیتزا آفریکانا (آمریکایی)
زهرا,۲,خیلی دیر رسید و کامل سرد شده بود,پیتزا آفریکانا (آمریکایی)
