sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
محمد,۳,سلام، از خیلی جهات مثبت بود، ولی سلیقه من این است که در همبرگر از نان های کلاسیک استفاده بشه و نه از نان هایی که بافت نرمی دارند و حتی ته مزه شیرینی میدهند.,ماشروم برگر
امیر,۱,من ساعت دو سفارش دادم ساعت ۴/۵یک پیتزا سرد ویخ تحویل دادن,پیتزا مونترال (آمریکایی)
رضا,۵,مثل همیشه عالی بود .,پیتزا بیکن (ایتالیایی)
سعیده,۲,پیتزاها و سیب زمینی ها کاملا سرد رسید به دستم,پیتزا پپرونی (ایتالیایی)
نسترن,۳,سرد بود,پیتزا چیکن گورمه (ایتالیایی)
محمود,۵,عالی بود,سیزن کمبو
شهرزاد,۵,عالی,پیتزا مونترال (آمریکایی)
نگار,۵,خوب بود ولی نسبت به دفعه قبلی خیلی خوب نبود,پیتزا بیف گورمه (ایتالیایی)
رضا,۵,"ممنون از سرویس دهی تون .
فقط ای کاش رو بسته ی برگر و ساندویچ مشخص شود داخلش چی هست",ساندویچ مرغ ویژه
سعیده,۲,طعم پیتزا خیلی بد بود قابل مقایسه با دفعات قبل نبود.سالاد معمولی رو به ضعیف بود وسسش اصلا خوشمزه نبود.سیب زمینی با پنیر خوشمزه بود,پیتزا چیکن گورمه (ایتالیایی)
مارال,۳,زیاد مزه خوبی نداشت به نسبت حجم قیمتشم خیلی بود به نظرم اون سس قرمز داخل مواد میانیش اصلا خوشمزه نبود,استرا کیو
حامد,۳,مقدار بیکنش خیلی خیلی کم بود,پیتزا بیکن (ایتالیایی)
نجمه,۵,پیاز زیادی داشت ولی خوب بود. خصوصا دیپ پنیر,پیتزا لاتینو میتادیا
حامد,۵,مثل همیشه عالی,پیتزا چهارفصل (ایتالیایی)
ستاره,۵,غذا در زمان مناسب، گرم و تازه به دستم رسید. کیفیت و طعم خوب داشت. خمیر نازک ایتالیایی عالی بود.,پیتزا چهارفصل (ایتالیایی)
سارا,۵,عالی عالی,جامبو کمبو
Mohammadreza,۲,غذا سرد شده بود خیلی زیاد,سالاد مرغ گریل
سارا,۵,عالی بود فقط تا برسه سرد میشه,پیتزا پپرونی (ایتالیایی)
بیتا,۵,مثله هميشه خوب و با كيفيت,استار کمبو (۲)
ارزو,۵,عالی بود ممنون و فقط بیکن ها بیش از حد سرخ شده بود ولی درکل طعم عالی بود,استراپستو
نیلوفز,۵,خیلی سریع آماده شد و خیلی سریع هم تحویل دادن. کیفیت غذاها خوب بود,پیتزا سبزیجات (ایتالیایی)
بیژن,۵,مثلدهمیشه عالی بود...,پیتزا چهارفصل (ایتالیایی)
مهری,۴,کیفیت خوبه ولی نون سیرش اصلا سیر ندارم فقط پنیره,نان سیر
سحر,۴,ساندویچ مرغ طعمش خوب نبود ولی قبلا سفارش داده بودم خوب بود,ساندویچ مرغ ویژه
helya,۵,ممنون از مجموعه شما,پیتزا بیف گورمه (ایتالیایی)
سید محمد فاضل,۴,دیر رسید سرد شده بود,پیتزا کاپریچیوزا (ایتالیایی)
دانیال,۲,پیتزای بیفش باب سلیقه من نبود شاید قرد دیگه ای خوشش بیاد من بیکن و پپرونی رو بیشتر دوست دارم,پیتزا بیف گورمه (ایتالیایی)
Neda,۵,مثل همیشه عالی بود,پیتزا میکس کالزون (آمریکایی)
امینی,۳,پیتزای خوش اسمی بود ولی طعم نداشتی و خمیر بود و موادش میریخا,پیتزا لاتینو میتادیا
الهه,۴,همه چیز خوب بود ممنون,پیتزا پپرونی (ایتالیایی)
محدثه سادات,۴,عالی عشق,اکو کمبو سه
سارا,۵,خیلی سریع به دستمون رسید ممنون ، ولی من سالاد یونانی خواسته بودم سزار فرستادین !!,سالاد یونانی
علی‌رضا,۵,همه‌چیز عالی بود. مرسی از پیتزا سیب عزیز.,پیتزا پپرونی (ایتالیایی)
رسول,۳,سلام بسته بندي و نحوه تحويل به مشتري خوب بود..دليل كيفيت پايين،محتوا و متريال است.يعني مواد استفاده شده بسيار كم و عمده غذا خمير پيتزا بود!! چند تكه مرغ و چند تكه قارچ و تعدادي گوجه يا فلفل نگين شده انگشت شمار..اين برند حيف مراقبش باشيد.,پیتزا چیکن گورمه (ایتالیایی)
سمیرا,۵,بسیاررررر عالی,پیتزا بیکن (ایتالیایی)
یونس,۳,قیمت بالا بودن نسبت به حجم غذا و غذا سرد بود,پیتزا میکس (آمریکایی)
مری,۱,اولا پیتزا خیلی دیر ارسال شد.یک عدد پیتزا بعد از یک ساعت و نیم به دستم رسید.و نان پیتزا هم خیلی خمیر بود.کلا راضی نبودم,پیتزا آفریکانا (آمریکایی)
فاطمه,۵,ممنونم.عالی بود,ساندویچ مرغ ویژه
سارا,۳,پیتزا طعمی خوبی داشت اما‌سیب زمینی خمیری بود و آویشن روش طعم جالبی نمیساخت ، کلا هزینه مالیات و پیک و غذا بالا بود,پیتزا چهارفصل (ایتالیایی)
ملیحه,۴,پیتزا کانتری زیاد خوشمزه نبود! اما در کل با کیفیت بودن و به موقع هم رسیدن، تشکر,کانتری
بهروز,۴,کیفیت غذا خوب اما به شدت سرد بود!,پیتزا چانو (ایتالیایی)
آرش,۵,حجم و کیفیت خوب بود طعم سوپریم خیلی عالی بود به موقع و گرم رسید ممنون,پیتزا چانو (ایتالیایی)
وحید,۲,علیرغم کیفیت خوب غذا، دیر ارسال شدنش باعث سرد و ماسیده شدن و در نتیجه پایین اومدن سطح رضایت شد!,فیوژن
مهسا,۵,خیلی خوشمزه بود ممنون از شما,پیتزا میکس (آمریکایی)
الهه,۵,تازه و با کیفیت بود و گرم و به موقع به دستم رسید. ممنون,پیتزا پپرونی (ایتالیایی)
بهراد,۱,ساعت ۱:۱۵ شب پیتزا بدستم رسید که کاملا سرد و قابل خوردن نبود ضمن اینکه دیگه ساعت یک شب موقع شام نیست بنده ۱۰:۴۵ ثبت سفارش کرده بودم,پیتزا پپرونی (آمریکایی)
مونا,۵,به موقع رسید.  کیفیت عالی بود .بسیار بهداشتی و تمیز بود . دستتون درد نکنه,میکس کمبو (۱)
پوریا,,فاصله ی رستوران یک خیابون بیشتر نبود، ولی غذا بیشتر از ۱ ساعت و ربع طول کشید تا به دستم برسه که برای یه برگر زمان خیلی زیادیه. غذا کاملا یخ کرده و برگر اصلا اسموکی نشده بود. استفاده از سس باربیکیو یه غذا رو اسموکی نمیکنه.,اسموکی برگر
سهیلا,۵,عالیه سیب واقعا,پیتزا میکس (آمریکایی)
منصوره,۵,واقعن عالی بود، کاملن بهداشتی با بسته بندی زیبا و مرتب و تمیز، دستتون درد نکنه، ممنونم که به توضیحات سفارش توجه کردید، البته این نشانه ارزش قائل شدن برای مشتریاتونه، سلامت و موفق باشید و در آخر امیدوارم روزی هزار تا سفارش بیرون بر مثل این داشته باشید...,پیتزا آفریکانا (آمریکایی)
م,۴,"بسیار عالی و خشمزه
ممنونم سیب جااان",چیز برگر
محمد,۵,"گرم و تازه و باکیفیت
۱۰ دقیقه ای پیک دم در خونه بود 
دمتون گرم ولی گرون نکنید",سیب زمینی پنیر ویژه
Hediye,۵,سلام خیلی گرم و خوشمزه یود غذا ، ممنونم,سالاد سبز ویژه سیب
زهرا,۳,علی رغم اینکه زودتر از زمان تعیین شده رسید ولی کاملا سرد و از دهن افتاده بود، کیفیت هم خیلییی معمولی,چیز برگر
منصوره,۵,همه چی عاااااالی بود، فوق العاده خوشمزه، داغ و به موقع رسید، امیدوارم این سرویس عالی تداوم داشته باشه، موفق باشید...,پیتزا سبزیجات (ایتالیایی)
ندا,۵,عالی,پیتزا چانو (ایتالیایی)
معصومه‌,۵,"عاااااالی 
تمیز بهداشتی تحویل سریع و با احترام 
ممنونم",فیوژن
بهروز,۵,"کیفیت عالی و خوشمزه
فقط کمی سرد شده بود",پیتزا بیکن (ایتالیایی)
نگين,۵,خوب بود.,چیز برگر فرانسوی (پرسی)
حمیده,۵,هم داغ به دستم رسید هم مثل همیشه خوشمزه ممنونم که احترام میذارید به مشتری و همین باعث شده مشتری دائم باشم,پیتزا چانو (ایتالیایی)
Afshin,۴,همه چی عالی ولی زمان ارسال واقعا زیاد بود,پیتزا پپرونی (ایتالیایی)
محمد,۵,"کیفیت قبلا نسبتا خوب بود اما ۲-۳ بار اخیر که سفارش دادم نسبت به قبل خییلی بهتر و عالی شده
موفق باشید",پیتزا چانو (ایتالیایی)
.,۵,واقعا عالی بود گرم و تازه و تحویل به موقع,پیتزا میکس (آمریکایی)
بهراد,۵,مثل همیشه عالی بود ممنون از پیتزا سیب مجیدیه,پیتزا پپرونی (ایتالیایی)
کیمیا,۵,عالی,هارمونیکا و استارتر
اواکم,۵,همه چیز عالی بود. تحویل سر موقع بود. با توجه به اینکه ما مهمان داشتیم، و خیلی سریععععع و به موقع ۹ عدد پیتزا و ۲ عدد سیب زمینی کاملا داغ تحویل داده شد. مرسی از پیتزا سیب و گروه اسنپ.,پیتزا کاپریچیوزا (ایتالیایی)
علی,۱,کاملا سرد و بیات بود ! کیفیت پیتزا سیب پایین اومده ولی این سری دیگه میشه گفت افتضاح شده,پیتزا چانو (ایتالیایی)
آذر,۳,بیش از حد پیتزا تند بود,پیتزا مکزیکو (آمریکایی)
محمدرضا,۴,همه چیز عالی طعم خوب فقط غذا سرد بود,اکو کمبو یک
Saberi,۵,ممنونم,فیوژن
بهراد,۵,عالی بود,پیتزا پپرونی (ایتالیایی)
حامد,۵,کیفیت پیتزاها خیلی خوب شده و ممنونم، پیک رستوران هم عالی و مثل همیشه تا درب آپارتمان بصورت داغ غذا تحویل داد,پیتزا سوپریم (ایتالیایی)
مهناز,۵,مثل همیشه عالی,پیتزا میکس (آمریکایی)
احسان,۲,سلام، من امتیاز ۲ رو به سفارش از این رستوران و امتیاز ۳ رو به غذا میدم. حدود ۱ ساعت و ۴۵ دقیقه بعد از سفارش غذا به دستم رسید، برخورد پیک که مشخص بود پیک رستوران هست بسیار محترمانه بود و غذا به نظر شخصی من خوب نبود. ممنون,پیتزا پپرونی (ایتالیایی)
آرش,۵,خیلی خوشمزه بود . بسته بندی عالی. تشکر از پیک خوش برخورد,ساندویچ رست بیف
niloofar,۵,عالی,پیتزا چانو (ایتالیایی)
سعید,۱,تاخییییر خیلی زیاد با وجود فاصله بسیار کم,پیتزا میکس (آمریکایی)
سحر,۲,طعم غذا خیلی خوب بود ولی فوق العاده دیر به دستم رسید,اکو کمبو یک
سهیلا,۵,پیتزاهاش عالیه خوشمزه است واقعا,پیتزا چیکن گورمه (ایتالیایی)
بهار,۵,برخورد پیک بسیار مودبانه بود,پیتزا آفریکانا (آمریکایی)
مسعود,۳,خیلی سریع رسید ولی خوب چون تو ساک یا بسته مناسب نبود یخ کرده بود کاملا,ساندویچ هات داگ ویژه
فرزانه,۳,خوشمزه بود ولی سرد بود. سیب زمینی ها هم بنظر تازه نمیومد.,میکس کمبو (۱)
فاطمه,۱,هم دیر میفرستید غذا رو و هم یخ کرده از دهن افتاده و کیفیت ساندویچ پایین هست.قبلا بهتر بودید.چاره ای واسه مشتری جز رفتن نمی زارید.یکساعت و پانزده دقیقه معطلی؟؟؟؟؟,ساندویچ مرغ ویژه
زهرا,۵,پیتزا بیکن خوشمزه بود طعم جدید و باب میل ما  غذا تقریبا گرم رسید ممنون از پیتزا سیب و اسنپ فود,پیتزا بیکن (ایتالیایی)
فرهاد,۲,نان چیز برگر به کاغذ کف جعبه چسبیده بود و نان از هم پاشیده بود,سوپر برگر (پرسی)
فاطمه,۵,"خوشمزه بود. بسته بندی خوبی داشت و پیک هم اصول بهداشتی رو خیلی خوب و کامل رعایت کرده بود.
مرسییی واقعا",پیتزا پپرونی (ایتالیایی)
زهرا,۵,عالي بود,ساندویچ هات داگ ویژه
شيوا,۴,عالی ممنون بسیار خوب بود,پیتزا سبزیجات (آمریکایی)
حديث,۵,مثل همیشه خوشمزه بود.,سوپر برگر (پرسی)
بهراد,۵,مثل همیشه طعم و  مزه عالی بود و سریع رسید,پیتزا پپرونی (آمریکایی)
آریگا,۵,عالی بود کیفیت درجه ۱ ممنون,ماندولین و استارتر
فاطمه,۵,عالی بود. هم به موقع رسید و خوش طعم بود و هم رفتار پیک خیلی خوب بود.,پیتزا سوپریم (ایتالیایی)
zeynab,۵,همه چی عالی برعکس بقیه که ۲تا سس بیشتر نمیذارن حسابی دست و دل بازیید و رفتار پیکتونم عالی.,پیتزا چیکن گورمه (ایتالیایی)
ایلیا,۵,بهترین برگری بود که تا حالا خورده بودم خیلی تمیز و گرم,چیز برگر
samrad,۵,مثل همیشه عالی,نان سیر
مهدی,۵,خیلی خوشمزه بود. ممنون,پیتزا پپرونی (ایتالیایی)
حانیه,۵,بسته بندی و کیفیت و طعم غذا عالی بود,سوپر برگر (پرسی)
ناهید,۵,خیلی خوش طعم و سبک بود، دقیقاً به سبک ایتالیایی، داغ و به موقع و سالم رسید,پیتزا چهارفصل (ایتالیایی)
فاطمه,۵,سیب خیلی خوب گوشت و مرغ پیتزاهاشو طعم دار میکنه,پیتزا لاتینو میتادیا
زینب,۵,خوشمزه و عالی بود ممنونم,پیتزا آپاچینو (آمریکایی)
zeynab,۵,همه چی خوب بود که ما واسه شام تولدمونم اعتماد کردیم و سفارش دادیم‌.ارسالتون خیلی به موقع است,پیتزا چیکن گورمه (ایتالیایی)
پريسا,۵,ممنون بابت كيفيت غذا، سبزيجات تازه و همچنين گرم بودن اونها,پیتزا سبزیجات (ایتالیایی)
Marzie,۵,ما همیشه پیتزاهامونو از اینجا میخریم و همیشه زود و گرم میرسه و عالیه,پیتزا پپرونی (ایتالیایی)
رضا,۵,"واقعاً پیتزاهای اینجا خوب و  فوق العاده است.
دمتون گرم",پیتزا چانو (ایتالیایی)
فرشته,۵,پیتزاش  عاالی  بود .خمیرش  فوق العاده س,پیتزا پپرونی (ایتالیایی)
فائزه,۵,مثل همیشه عالی,استار کمبو (۲)
مرجان,۲,یک ساعت و نیم برای فرستادن سفارش غذا به فاصله دو تا کوچه به نطرتون زیاد نیست؟! بعد از دوبار اعلام تاخیر تازه از رستوران تماس گرفتن برای چک کردن سفارش ها!!,فیوژن
آناهیتا,۵,عالی بود . پیک بسیار محترمانه دقایقی صبوری کرد تا به محل برسم. همه چیز فوق العاده بود,پیتزا بیکن (ایتالیایی)
fatemeh,۳,غذا یخ تحویل شد,پیتزا چانو (ایتالیایی)
مریم,۵,زمان ارسال، داغ رسیدن سفارش، طعم خوب همیشگی,پیتزا آپاچینو (آمریکایی)
اویده,۵,مثل همیشه عالی,پیتزا چهارفصل (ایتالیایی)
Sahar,۴,طعم همبرگر و پیتزا خوب بود بسته بندی کودک خیلی جذاب بود بچه ها عاشقش میشن کنار نون پیتزا کمی سوخته بود مخصوصا برای بچه ها باید بیشتر دقت بشه,غذای کودک (پسرانه)
شیدا,۵,پیتزا ۴ فصل سفارش دادیم و مثل همیشه لذیذ و خوشمزه,پیتزا چهارفصل (ایتالیایی)
عاطفه,۴,متاسفانه وقتی پیتزا های ما رسید اصلا نیمه آماده نبود و کاملا پخته شده بود ..در صورتی که ما بگیر و بپز سفارش داده بودیم,پیتزا پپرونی آمریکایی (نیمه آماده)
فرشته,۵,"غذا هم گرم رسید هم موادش تازه و‌فوق العاده خوشمزه بود.مامور پیک هم خوش اخلاق بودو تا بالا پیتزار‌رو‌اورد 
ممنون از پیتزا سیب",پیتزا چانو (ایتالیایی)
Nima,۵,"بسیار خوشمزه وبا کیفیت 
برخورد پیک عالی 
مرسی از تیم حرفه ای سیب ۳۶۰",پیتزا پپرونی (ایتالیایی)
zahra,۴,خوب بود با توجه به بارونی که می‌اومد غذا سرد رسید ولی خودم گرمش کروم,پیتزا پپرونی (آمریکایی)
نگار,۵,کنار پیتزا چندتا خوراکی جذاب بود مثل پاستیل و کروسان که واقعا حال داد غذا هم به موقع رسید و خوشمزه بود,پیتزا پپرونی (ایتالیایی)
محمود,۵,خوشمزه و عالی و داغ داغ,مگا کمبو
Milad,۳,غذا سرد به دستمون رسید,پیتزا توکیو (آمریکایی)
Alireza,۳,خیلی دیر آورد,پیتزا بیکن (ایتالیایی)
فاطمه,۴,پیتزای فوق العاده ساده ای بود.فقط سوسیس ونان و پنیر پیتزا بود,پیتزا پپرونی (ایتالیایی)
فاطمه,۵,خیلی خوب بود و سریع هم تحویل دادن,پیتزا پپرونی (ایتالیایی)
حسین,۴,از همه نظر عالیه کیفیت و قیمت فوق العاده,استار کمبو (۲)
صادق,۳,"غذا خوب بود
فقط سرد بود",پیتزا پپرونی (ایتالیایی)
حسین,۵,عالی مثل همیشه,سوپر برگر (پرسی)
محسن,۵,کیفیت پیتزاهای این شعبه رو دوست دارم,پیتزا سبزیجات (ایتالیایی)
lili,۵,خیلی دیر رسید ولی کیفیت خوب بود,سیب زمینی پنیر ویژه
علی,۴,زود رسید. همراه بسته بندی مناسب به منظور گرم موندن. یه پک جذاب هم همراهش بود. دستشون درد نکنه,پیتزا مونترال (آمریکایی)
حدیثه,۲,اصلا خوشمزه نیست و به قیمتش نمیارزهچندتا لایه نازک گوشت مث سوسیس روش با یکم پنیر و نون همین .خیلیم دیر اومد. حیف پول,ماءالشعیر قوطی هی دی لیمو
ن,۵,کیفیت بهتر شده بود.راضی بودیم,پیتزا چانو (ایتالیایی)
فرناز,۱,"سفارش ما برگر بود با پیتزا آمریکایی گوشت و قارچ 
هر دو کیفیتشون بد بود 
مخصوصا پیتزا فوق العاده بد بود هم خیلی سرد بود هم طعمش بد سوخته هم بود",همبرگر
مهتاب,۱,پیتزا مزه نون تافتون و پنیر میداد... کالباسو سوسیس چندتا دونه روش بود اکثر قسمتا خالی!!! همبرگر بسیار بی کیفیت... اصلا از سیب ۳۶۰ این کیفیت غذا انتظار نمیرفت,استرا هات
رضا,۳,"کیفیت خوبی داره
منتها بدلیل استفاده از نان جو در برگر و ساندویچ، در هنگام سروغذا نان خیس خورده و یا تکه تکه میشه",پیتزا چهارفصل (ایتالیایی)
محمد,۵,عالی بود,پیتزا پپرونی (ایتالیایی)
شقایق,۵,خیلی خوب بود,جامبو کمبو
Mozhgan,۵,خیلی خوب بود,پیتزا پپرونی (ایتالیایی)
علیرضا,۵,با اختلاف بهترین پپرونی تهران,پیتزا پپرونی (ایتالیایی)
آیدا,۵,عالیییی مثل همیشه,چیز برگر
حمید,۳,غذا کاملا سرد به دست من رسید ولی خود غذا خوشمزه بود,پیتزا مکزیکو (آمریکایی)
بهیان,۴,"سلام
نسبت به قیمتش کیفیت داشت. ممنون",ماشروم برگر
محمد,۵,بسیار با کیفیت همراه با اشانتیون های بسیار عالی,پیتزا بیف گورمه (ایتالیایی)
Rest,۳,نسبت به قیمت حجم کمی داشت,پیتزا مونترال (آمریکایی)
عبداله,۳,بدلیل تاخیر در تحویل سرد بود,پیتزا چیکن گورمه (ایتالیایی)
علی,۵,بسیار با کیفیت و عالی,پیتزا سبزیجات (ایتالیایی)
mohammad,۱,غذا رو پیک باید درب‌منزل تحویل‌ بدن,چیز برگر
ندا,۵,غذا ک خیلی زود و کاملا گرم رسید، طعم وحجم  قیمت و... همه چی عالی سس کنار غذا کاملا کافی و شاید زیاد بود. انصافا لایق کلمه بهتریند,نان سیر
حسین,۳,کیفیت سیب به شدت کاهش پیدا کرده است,پیتزا چیکن گورمه (ایتالیایی)
ندا,۱,سرد بود و بشدت ناراضی بودم,پیتزا چیکن گورمه (ایتالیایی)
علی,۱,"اولا که اصلا آمریکایی نبود، خیلیییی نازک بود با مواد کم... و اینکه نسبت به قیمت اصلا مناسب نبود، حتی برای یک نفر هم کافی نبود
مزه‌ی پیتزا هم معمولی بود",پیتزا آپاچینو (آمریکایی)
ف,۳,متاسفانه غذا به شدت سرد شده بود و طعم سابق رو نداشت!,سیب زمینی با پنیر
ملیکا,۱,من سالاد سزار و پاپ فرایز و نوشابه سفارش داده بودم و کیفیت سفارش در حدی بود که فقط نوشابه قابل خوردن بود. سالاد سزار که فقط کاهوش رو میشد خورد. سس سزار خیلی بدطعم بود. تستش مونده بود. سیب زمینی هم مونده بود. از سیب ۳۶۰ انتظار بیشتری داشتم,پاپ فرایز
نیکان,۵,عالی عالی عالی فقط دیر رسید.,هالوپینو برگر
سهند,۲,زیتون روی پیتزا بوی بدی میداد و استیک هم به علت پخت زیاد خشک شده بود,پیتزا چانو (ایتالیایی)
محمدرضا,۳,.   غذا سرد بود و ادویه ای که به گوشت و روی پیتزا زده بودن طعمشو بد و عوض کرده بود,پیتزا گوشت و قارچ (آمریکایی)
haami,۳,اولین بار بود که میدیدم روی نون پیتزا سس سفید استفاده شده! خیلی چرب شده بود. کاش موارد این چنینی رو به انتخاب مشتری بگذارید.,پیتزا چهارفصل (ایتالیایی)
نگین,۱,خیلی بی‌کیفیت و سرد و افتضاح,پیتزا چیکن گورمه (ایتالیایی)
کبری,۲,"کیفیت غذا کاملا پایین
غذا کاملا سرد با اینکه تاکید شده بود.
و نسبت به قیمت اون کیفیت همیشگی دیگه نداره.
وساندویج مرغ اصلا طعم و کیفیت خوبی نداشت.",ساندویچ مرغ ویژه
احسان,۵,"مثل همیشه عالی 
کیفیت غذا فوق العاده",پیتزا سوپریم (ایتالیایی)
محمدرضا,۱,"با سلام و احترام 
متاسفانه بجای پیتزای آمریکای، پیتزای ایتالیای آوردن ....
ظاهرا سفارش مشتری دیگری رو آوردن یا اینکه گفتن مهم نیست همین رو تحویل بدید....
پیتزای نیمه آماده بود 
این حرکت اصلا درست نبود
لطفا با سایر مشتری هاتون این کارو نکنید
با تشکر",نان سیر
رادمان,۵,پیتزاش عالی فقط روی سیب زمینی ها ادویه تند داشت همبرگرش عالی حرف نداره پیتزاشم حرف نداره ولی سیب زمینیش بد بود چون روش ادویه تند داشت,پیتزا بیف گورمه (ایتالیایی)
زهرا,۵,فقط یکم اینسری خمیرش برشته نبود من برشته تر دوست دارم تا خمیری,پیتزا چهارفصل (ایتالیایی)
ازیتا,۱,همبرگر سوخته بود، سیب زمینی سرخ کرده خیلی بی کیفیت بود انگار از هفته قبل سرخ شده و مونده بود. واقعا بدترین سفارشی بود که برام فرستادین,همبرگر
محبوبه,۵,عالی بود. به موقع اومد و خوشمزه بود. یه چیز کوچیکم بگم دوس نداشتم گوشتش شبیه ب کباب کوبیده باشه، انگار کباب کوبیده رو تیکه تیکه کردن گذاشتن باقی چیزا عالی,پیتزا میکس (آمریکایی)
پوراندخت,۱,۱ ساعت و نیم منتظر فقط یدونه پیتزا بودم وقتی هم که تحویل گرفتم سرد و بی مزه شده بود,پیتزا چانو (ایتالیایی)
سعیده,۵,خوشمزه بود :),پیتزا مونترال (آمریکایی)
یاسمین,۴,خوب بود و خیلی زود و گرم به دستمون رسید ممنونم,پیتزا توکیو (آمریکایی)
Z,۳,سلام وقت بخیر کیفیتش نسبت به قبل کمتر شده.ولی در کل خوب بود.خیلی سریع به دستم رسیدبسته بندیشون  هم خوب بود. دستتون درد نکنه.,پیتزا مارگاریتا (ایتالیایی)
رها,۲,اصلا کیفیت سابق رو نداره مثلا رست بیف سفارش دارم همش نون بود گوشت و پنیر رو بهش اشاره کردن بوی جعبه رو هم گرفته بود که خوشایند نبود متاسفانه,پیتزا آپاچینو (آمریکایی)
رضوانه,۵,عالی بود فقط کاش جای نان سیر نان معمولی هم برای پیتزا ها داشتید،در کل عالی,پیتزا چانو (ایتالیایی)
مهدي,۳,غذا کاملا سرد رسید و مرغ های پیتزا خیلی سفت بودند. به نسبت بقیه شعبه ها واقعا کیفیت کمتر بود و بخش بزرگ پیتزا پپرونی و سبزیجات بود!!,پیتزا چهارفصل (ایتالیایی)
رضا,۵,غذاشون خیلی خوشمزه بود. من واقعاً غذاشون رو دوست داشتم.,پیتزا چانو (ایتالیایی)
علیرضا,۴,"زمان ارسال و بسته بندی عالی بود و جای تشکر ویژه داره 
خود غذا خوب بود  فقط کمی سرد شده بود",پیتزا پپرونی (ایتالیایی)
سمانه,۱,همبرگر افتضاح بود نسبت به قیمت،پیتزا هم همینطور و بسیار سرد,پیتزا بیف گورمه (ایتالیایی)
elinaz,۱,اول که غذا دیر رسید وقتی ام که رسید اینقد یخ بود که انگار از یخچال اوردن خیلی خیلی بد بود.,سیب زمینی با پنیر
ف,۲,غذا سرد سرد بود و اصلا خوب نبود,ساندویچ سوچیک
سبحان,۳,مقدار سیر استفاده شده بیش از حد بود به طوری که هیچ طعمی جز طعم سیر حس نمیشد,پیتزا بیکن (ایتالیایی)
آوا,۱,"غذا رو همیشه خیلی دیر میفرستن
امشب علاوه بر خیلی دیر فرستادن، سفارش نپخته و با کیفیت نامطلوب و سرد سرد بدستمون رسید
اصلا قابل استفاده نبود",پیتزا کاپریچیوزا (ایتالیایی)
negin,۴,غذا که رسید سرد بود اما کیفیتش خوب بود ممنون,پیتزا پپرونی (ایتالیایی)
reyhaneh,۴,نسبت به قبل کیفیتش اومده بود پایین,پیتزا میکس (آمریکایی)
امیرحسین,۴,خوب بود ولی ۱۲۹ هزار تومن با ارسال و مالیات نمیارزید,پیتزا بیکن (ایتالیایی)
درسا,۲,بوی گوشت برگر به شدت بد و غیر قابل تحمل بود.,پیکو کمبو
زهرا,۱,"با سلام
برعكس هميشه سفارش ما سرد تحويل شد و از دهن افتاده بود. و پيتزاش خمير بود...",اکو کمبو یک
عرفان,۱,"غذا بعد از دو ساعت تحویل داده شد و بسیار سرد شده بود و سیب زمینی هم با غذا ارسال نشده بود و بعدا مجددا ارسال شد.
در کل بسیار ضعیف",اکو کمبو دو
رضا,۵,عالی بود,پیتزا پپرونی (آمریکایی)
هلما,۱,پیتزا سرد بود,پیتزا چهارفصل (ایتالیایی)
Ali,۱,خمیر خام خام بود و خیلی. سر رسید,پیتزا مونترال (آمریکایی)
marzieh,۱,دو دفعه هست که غذا دیر و با تاخیر به دست ما میرسه. اینبار غذا کاملا سرد شده بود. و جعبه ها روی هم فشرده شده بود و پیتزا به جعبه چسبیده بود. کاملا ناراضی بودیم از سفارشمون. ما مشترک پر و پا قرص شما بودیم ولی ما رو ناراضی کردید.,سوپر برگر (پرسی)
سيمين,۱,غذا بعد از یک ساعت و ۵۰دقیقه به دستمون رسید و بسیار هم سرد بود، به جای سیب زمینی مخصوص ،سیب ساده ارسال شده بود!!,سیب زمینی پنیر ویژه
امیرحسین,۴,کیفت کار عالی بود و غذا بسیار مناسب بود فقط کمی سرد شده بود,پیتزا چانو (ایتالیایی)
عرفان,۵,عالی، مامور ارسال خوش اخلاق، غذا گرم و حتی زودتر از موعد هم رسید، حلالتون,اکو کمبو یک
شیوا,۱,خیلی بی خود بود,پیتزا بیکن (ایتالیایی)
غزاله,۴,ساندویچ مرغ ویژه گرفتم. با توجه به قیمتش ضعیف بود. پنیر هم خیلییی کم داشت,ساندویچ مرغ ویژه
مروه,۴,خوب بود، اگر سختگیرانه نگاه کنیم کمی خمیرش نپخته، سرعت کم، مخلفاتش کم بود.,فمیلی کمبو (۴)
مجید,۲,"غذا بسیار سرد و از دهن‌افتاده بود طوری که ما غذا رو گرم کردیم. سیب‌زمینی هم سرد و خیلی مونده بود.
واقعا خیلی کیفیت پایینی داشت.",پیتزا چیکن گورمه (ایتالیایی)
فرزاد,۱,واقعا خمیر بود و مقدار مواد داخل پیتزا نسبت قیمت بسیار کمتر بود و سرد بود.,ماندولین و استارتر
حسن,۴,خیلی خوب به موقع رسید و گرم ممنون از شما فقط خواهش که همینطور باقی بمونه و اگه میشه تو پیش غذا قارچ سوخاری و پیاز سوخاری هم بزارین خوبه,پیتزا میکس (آمریکایی)
عاطفه,۳,"سیب زمینی پنیر اندازه یه سکه بیست و پنج تومنی روش پنیر بود
انگار پنیر رو از کنار ضرف سیب زمینی رد کرده بودن سهوا یه ذره ریخته بود روش",پیتزا چیکن گورمه (ایتالیایی)
