"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"مهدی","۳","کیفیت و حجم مواد پیتزا به شدت افت کرده با اینکه قیمت بالایی داره","استرامبولی دونر استیک پنیری"
"فائزه","۵","مثل همیشه عالی، ممنون از شیلا، و ممنون از پیک اسنپ فود آقای ابراهیمی، خیلی سریعتر از تایم تخمین زده شده بدستمون گرم رسوندن.","پیتزا کویین (۳۰ سانتی‌ متری)"
"محمدرضا","۵","بهترین فست فود منطقه !","ساندویچ کراکف"
"خانم س","۵","خیلی خوب بود","ساندویچ کراکف"
"ندا","۵","همیشه میخرم عالیی","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"محمد","۲","میزان سیب زمینی بسیار کم بود کیفیت گوشت چرخ کرده به شدت بد بود","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"احسان","۵","مثل همیشه داغ و عالی","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"آرمان","۵","عالی بود","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"سالار","۵","کیفیت غذا عالی، پیک بسیار محترم","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"پانته‌آ","۵","مثل همیشه خوب و با کیفیت 
پیک محترم هم آقایی بسیار خوشرو و مودی و محترم بنام آقای ابراهیمی بودن که واقعا رفتارشون قابل تحسین بود","استرامبولی مرغ و اسفناج پنیری"
"حسن","۵","نون عالی پنیر عالی ممنون","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"شقایق","۵","ممنون بابت غذا آقای ابراهیمی پیک بسیار خوش برخوردی هستند","پیتزا پپرونی (۳۰ سانتی‌ متری)"
"ناهید","۵","من ۵مین بار بود از شیلا سفارش میدادم و مثل همیشه خوشمزه بود
طعم واقعی پیتزا و همبرگر
اصلا قابل مقایسه با فست فود های دیگه نیس","پیتزا مرغ (۳۰ سانتی‌ متری)"
"الهه","۵","خوب بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"نهال","۵","خوب بود و راضی بودم","چیز برگر"
"مریم","۵","پیتزا برشته شده بود و خمیرهای دور پیتزا هم پخته و برشته بود و رفتار پیک اقای شریفی بسیار محترمانه بود","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"مهدی","۵","عالی بود ممنونم ازلطفتون","استرامبولی دونر استیک پنیری"
"فرزانه","۵","همبرگر تازه و خوشمزه.سبب زمینی تازه","سیب زمینی سرخ شده ساده"
"شهلا","۵","عالی، ممنون.","فرش چیز برگر"
"افسانه","۵","غذا خوب و آقای ابراهیمی متصدی ارسال هم کاملا محترمانه رفتار کردند.سپاس","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"مینا","۴","یکم سسی که بهش زده شده بود برای من زیاد بود و دل رو میزد. ولی در کامل کیفیت خوبی داشت.ممنون","استرامبولی دونر استیک پنیری"
"shayegh","۵","به نظرم پاستا آلفردو خوشمزه تره و حداقل طعم داره، از نظر کیفیت خوب بود ولی طعم و مزه خاصی نداش خودم روش کلی ادویه اویشن و فلفل سیاه و نمک زدم، حالا شایدم سلیقه ای باشه
ولی ممنون از ارسال خیلی سریع و توجه به توضیحات","پاسترونی گوشت و پنیر"
"طاهره","۵","پیک رستوران آقای ابراهیمی فوق العاده مودب و متین هستند","پاسترونی پستوچیکن"
"حسین","۵","مثل همیشه عالی","چیز برگر"
"دنیا","۵","كيفيت عالي.زودتر از تايم اعلامي رسيد.ممنون","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"حسین","۳","شیلا رفته رفته همه چیش داره معمولی میشه","ساندویچ هات داگ با پنیر گودا"
"فرزام","۵","واقعا عالی بود ، از مواد با کیفیت استفاده کرده بودن و طمع عالی داشت با تشکر از شما","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"علی","۵","کیفیت عالی ، تحویل بموقع ، پیک خوش برخورر","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"نگین","۵","سریع، بسته بندی عالی ، غذای خوشمزه و‌با کیفیت","پاسترونی پستوچیکن"
"احسان","۵","پیتزا مخلوط بسیار عالی و تازه بود","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"mori","۴","ممنونم از اقای ابراهیمی عزیز بابت رساندن سفارش","سالاد سزار با مرغ گریل"
"سعید","۵","متشکرم،ضمن تشکرویژه از پیک رستوران  بااین حال من حضور به موقع نداشتم اما ایشان با صبرو گشاده رویی ومحترمانه برخورد نمودند","سیب زمینی سرخ شده ساده"
"سینا","۵","خوب بود یه ذره چرب بود","استرامبولی مرغ و اسفناج پنیری"
"محمد","۵","خیلی خوشمزه بود","سالاد کلم"
"نسیم","۱","خیلی خیلیییی موادش کم بود","نوشابه خانواده اسپرایت"
"نگار","۴","در کل خوب بود.","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"الهام","۵","پیتزا خوشمزه بود ممنونم","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"هیراد","۴","غذا خیلی خوب بود اما سیب زمینی زیاد جالب نبود","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"غزاله","۵","خوشمزه مثل همیشه","پیتزا پپرونی (۳۰ سانتی‌ متری)"
"علی اکبر","۵","مثل همیشه کیفیت خوب و به موقع تحویل گرفته شد","استرامبولی گوشت و پنیر"
"اندیشه","۵","عالی و خوشمزه","نان سیر"
"نفیسه","۵","سلام وروز بخیر خیلی ممنونم ویتزاها خوب وخوشمزه بود","پیتزا پپرونی (۳۰ سانتی‌ متری)"
"مهدی","۳","پیتزا بیشتر مزه خمیر میداد زیر سیب زمینی هم پر روغن بود","پیتزا کویین (۳۰ سانتی‌ متری)"
"شیما","۳","مرغ بسختی روش دیده میشد","پیتزا مرغ (۳۰ سانتی‌ متری)"
"sadaf","۵","بسیار سریع و عالی","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"محسن","۴","خیلی خوب پیک هم سریع اومد","هات داگ چیز فرایز"
"ابوالفضل","۵","عالی بود کیفیت و سرعت تحویل","پاسترونی گوشت و پنیر"
"افسانه","۱","معمولی","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"Samira","۵","پیتزا خوشمزه سیب زمینیشم خوب بود و پیک هم بسیار مهربان و محترم بودن","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"شهپر","۵","سلام.واقعااا ممنون.یکی از بهترین با کیفیت ترین پیتزاهایی بود که در این مدت خریده بودم.واقعااا ممنون.سلامت و موفق در پناه خداوند.رفتار پیک هم بسیار مودبانه و مهربان بود.در کل همه چی عااالی.","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"موحد","۵","پیک محترم اقای ابراهیمی خیلی برخورد خوب و محترمانه ای داشتند دستشون درد نکنه ازشون تقدیر کنید حتما","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"Bahar","۵","عالی","آلفردو چیز فرایز"
"نورا","۵","خیلی زود    رسید دستمون و عالی  بود","نوشابه قوطی کوکا کولا"
"فرزاد","۵","نسبت به قبل حجمش کمتر شده ولی همه چی عالیه","پیتزا پپرونی (۳۰ سانتی‌ متری)"
"نيلوفر","۵","باسلامً ممنونم از اينكه به توضيحات توجه كرديد بسيار خوشمزه و عالي و تازه بود خيلي راضي بودم ممنون از شما و مجموعه عاليتون پر روزي باشيد","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"هدیه","۵","مثل همیشه عالی بود،ممنون از رفتار و برخورد خوب پیک‌محترمتون آقای ابراهیمی","نوشابه قوطی کوکا کولا زیرو"
"حنا","۲","من فکر می‌کنم امتیاز بالای شیلا بیشتر بخاطر پشتیبانی‌شون هست چون کیفیت غذاشون خیلی معمولیه. سالاد کلم که کامل کهنه بود. نان همبرگر هم نان شیرین بود که بنظر من برای برگر مناسب نیست.","چیز برگر"
"Omid","۵","بسیار عالی بود","استرامبولی هات چیکن"
"مونا","۵","عالی عالی، ممنون از پیگیری و پشتیبانی قوی","استرامبولی دونر استیک پنیری"
"عاطفه","۵","رفتار پیک بسیار بسیار بسیار محترمانه بود واقعا ممنون از ایشون و کیفیت غذا هم مثله همیشه بی نقص","چیکن استریپس"
"حسین","۵","از همه نظر خوب. مخصوصا برخورد پیک و تماس و پیگیریتون","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"شهلا","۵","خیلی ممنونم از شما بابت توجه به توضیحات، مثل همیشه داغ و سریع به دستم رسید.","پیتزا کویین (۳۰ سانتی‌ متری)"
"امیرارسلان","۵","بسیار عالی بود رفتار پیک محترمانه بود ممنون","پیتزا کویین (۳۰ سانتی‌ متری)"
"محمدرضا","۳","طعم غذا خوب بود، با توجه به قیمت بود یک مقدار حجمش کمه.
یک انتقاد دارم ضرورتی داره دو ساعت بعد زنگ بزن از کیفیفت و سرعت ارسال سوال کنند، من خواب بود و با سردرد به لطف شیلا بیدار شدم؟!","استرامبولی چیکن آلفردو"
"فاطمه","۵","مثل همیشه عااااالی و زودتر از موعد رسید دستم","فینگر کریسپی بزرگ"
"محمد مهدی","۵","مثل همیشه عالی","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"زینب","۵","عالی","پاسترونی چیکن آلفردو"
"اروین","۵","عالی بود مثل همیشه","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"فرشید","۵","پیتزا خوشمزه بود ، حجم سیب زمینی کم بود فقط ولی کیفیت خوب بود.","نوشابه قوطی فانتا پرتقالی"
"حنانه","۲","همیشه پیتزاهای شیلا عالی بود، ولی این سری متاسفانه نصفش خمیر بود و بیشتر نونشو ریختیم دور. از لحاظ طعم هم‌خیلی جالب نبود.","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"فاطمه","۵","خوشمزه بود","ماءالشعیر قوطی هی دی هلو"
"زهرا","۵","یک دلستر کم ارسال شد پیک رفت دوباره آورد","پیتزا مرغ (۳۰ سانتی‌ متری)"
"مقداد","۴","طعم و مواد مصرفی مثل کلیت شیلا عالی . خمیر زیادی نرم بود","پیتزا کویین (۳۰ سانتی‌ متری)"
"صدف","۵","عالی","پیتزا کویین (۳۰ سانتی‌ متری)"
"صدف","۵","عالی","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"صدرا","۵","پیک درب واحد تحویل نداد.گفت بیاید پایین","چیکن چیز کلاسیک"
"افشین","۵","غذا عالی بود، پیکشون آقایی به نام ابراهیمی بود بسیار مودب بودند و خیلی زود هم رسید.","سالاد سزار با مرغ سوخاری پنیری"
"زهرا","۵","بسیار عالی وبا کیفیت وقیمت مناسب","فرش چیز برگر"
"ابوالفضل","۵","عالی مثل همیشه","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"صالح","۳","با تشکر از رفتار عالی اقای ابراهیمی پیک محترم","سالاد سزار با مرغ گریل"
"فرناز","۵","مثل همیشه غذا گرم بود سریع رسید (۲۲ مین زودتر از زمان اعلامی ) پیک بسیار خوش رفتار :)","استرامبولی چیکن آلفردو"
"و","۵","عالی","ساندویچ هات داگ کلاسیک"
"صابره","۵","مثل همیشه عالی وگرم رسید","فرش ماشروم برگر"
"زهرا","۵","عالی مثل همیشه","استرامبولی هات چیکن"
"محمد","۵","پیک محترم بود","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"Samira","۵","آقای پیک بسیار خوش رفتار غذا سریع و داغ رسید و مثله همیشه خوشمزه","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"زهرا","۵","تحویل به موقع و رفتار محترمانه ی پیک","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"Narges","۳","حجم پیتزا خیلی کم بود","هپی کمبو"
"گیتا","۵","خیلی ممنون گرم و سریع به دستم رسید پیک آقای ابراهیمی هم خوشرو و مودب بودن سپاسگزارم","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"Esmat","۱","واقعا کیفیت این شعبه بد بود و مشکلات بهداشتی داشت و با این که سالاد مجدد عوض شد ولی بازم مشکل داشت و مجبور شدم بریزم دور واقعا 
لطفا پیگیری کنید اصلا کیفیت نداره و مشکل بهداشتی داره","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"شهرزاد","۵","باتشکر از شیلا
و ممنون از پیک خوش برخورد آقای ابراهیمی","آلفردو چیز فرایز"
"رها","۳","نون هات داگ کهنه بود ‌.دیگه از شیلا مجدیدیه غذا نمیگیرم .سری پیشم سوخاری کهنه بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"ساناز","۵","پیک بسیار مودب و عذا مثل همیشه بی نقص","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"آتنا","۲","پنیر پیتزا یخ زده بوده و آب نشده بود و رنده شده مشخص بود پیتزا شل و کاملا بی کیفیت. سس گوجه روی خمیر بد مزه","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"shayegh","۵","ممنون که خیلی سریع میفرستین و به توضیحات دقت میکنین، بار چهارم بود این غذارو از شیلا سفارش میدم، همیشه خوشمزه و عالی بوده، اینبار یه طعم ترشی داشت که اصلا جالب نبود برای پاستا","پاسترونی چیکن آلفردو"
"سارا","۵","عالی مثل همیشه","استرامبولی مرغ و اسفناج پنیری"
"فاطمه","۵","کیفیت غذا عالی
آقای ابراهیمی پیک مجموعه بسیار مودب","همبرگر"
"سینا","۵","خوب","ساندویچ کراکف"
"ندا","۴","ظرف سالاد مثل همیشه نبود و مناسب سرو نبود","سالاد سزار با مرغ سوخاری پنیری"
"مریم","۵","آقای ابراهیمی خیلی مودب و باشخصیت هستن","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"فاطيما","۵","عالي عالي عالي و پرفكت","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"سینا","۵","فوق العاده باکیفیت و خوش طعم و درجه یک بود","استرامبولی دونر استیک پنیری"
"شیوا","۵","خیلی خوشمزه بود","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"خانم","۳","سس ریخته شده بود بیرون از ظرف مربوطه ، قیمت زیاد هست برای این پیش غذا","آلفردو چیز فرایز"
"عاطفه","۵","خیلی خوشمزه بودن","استرامبولی دونر استیک پنیری"
"هلیت","۵","مثل همیشه فوق العاده... انتخاب اولم همیشه شیلاست","فرش ماشروم برگر"
"حمید","۵","مثل همیشه شیلا عالیه","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"ثمین","۵","عالی و گرم به دستم رسید، مثل همیشه","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"سوفیا","۴","درود بر شما ، مثل همیشه عالی بود و همیشه در این مسیر مانا باشید .","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"Erfan","۵","عالی","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"athena","۲","کیفیت پیتزا قابل مقایسه با شعبه سهروردی اصلا نبود 
کلا خمیر و پنیر بود","استرامبولی چیکن آلفردو"
"سین","۵","اسپشیال فوق العاده خوشمزه و خوب بود و حجم زیااد","پیتزا اسپشیال پلاس (۳۰ سانتی متری)"
"Ayda","۵","شیلا که یه دونس ولی واقعا پیتزا اسفناج خیلی زیاد چربه یه فکری واسش بکنید","پیتزا مرغ و اسفناج اسپینا چیکن (۳۰ سانتی متری)"
"فائزه","۵","پیتزا کویین مثل همیشه عالی، گرم به دستم رسید و برخورد پیک هم بسیار مودبانه و خوب. 
ممنون از پیتزا شیلا و اسنپ فود.","پیتزا کویین (۲۳ سانتی‌ متری)"
"محمد","۲","مثل همیشه نبود.","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"احسان","۵","عالی بود همه چیز مثل همیشه","کمبو شیلا"
"فائزه","۵","بسیار عالی","فینگر کریسپی بزرگ"
"مطهره","۵","عالی بود","استرامبولی چیکن آلفردو"
"محمد حسین","۵","کیفیت خوب، حجم به شدت پایین به نسبت قیمت","سالاد سزار با مرغ سوخاری پنیری"
"سیدحسین","۵","عالی","پیتزا مخلوط ۲۳ سانتی متری"
"مرتضي","۵","حجم کم","پاسترونی پستوچیکن"
"مهدی","۵","کیفیت غذا عالی بود ولی حجم غذا کم بود","پاسترونی گوشت و پنیر"
"مریم","۵","خیلی خوش طعم و خمیر پیتزا نازک و سبک بود، راضی بودم","پیتزا مخلوط ۳۰ سانتی متری"
"میلاد","۵","مثل همیشه عالی","استرامبولی چیکن آلفردو"
"الهام","۱","غذا کاملا مونده بود و بوی بد میداد سیب زمینی ها همه نرم بودند و تغییر رنگ داده بودند و ۸۰ درصد غذا خمیر ضخیم بدون دونر بود کلا دور ریز شد","استرامبولی دونر استیک پنیری"
"مریم","۵","سفارش خیلی زودتر هم بدستمون رسید از آقای ابراهیمی ممنونم که سریع سفارش رو رسوندن","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"مهتاب","۳","خیلی معمولی بود","فیتکس قارچ و گوشت ۱۰*۲۳ سانتی متری"
"Nasrin","۵","مثل همیشه عالی، 
برخورد جناب ابراهیمی بی‌نظیر بود و غذارو گرم و خیلی زود تحویل دادن.","پیتزا دونر استیک ۳۰ سانتی متری"
"محمد حسین","۵","مرسی از آقای ابراهیمی که غذا رو واسم سریع آوردن و مرسی از مجموعه شیلا که همیشه غذا ها با کیفیت ممنون از مجموعه شیلا ایشالا همیشه همین جوری ادامه بدین","پیتزا مخلوط ۳۰ سانتی متری"
"نرگس","۵","پيك اسنپ عالي بودند ممنونم","ساندویچ کراکف"
"پریسا","۵","کیفیت غذا خوب بود مثل همیشه و گرم به دستم رسید. آقای ابراهیمی پیک رستوران بسیار مودب و باشخصیت هستن و همه تلاششونو میکنن که غذا گرم به دستمون برسه.","استرامبولی چیکن آلفردو"
"زهرا","۵","ممنونم از مشتری مداری و کیفیت بالای غذا","استرامبولی چیکن آلفردو"
"محمد سبحان","۵","خوب بود","کمبو فیت"
"شهاب","۵","با کیفیت مثل همیشه","پیتزا کویین ۲۳ سانتی متری"
"زهره","۵","خیلی عالی بود خصوصا پیک محترم و‌ با اخلاق مجموعه اقای ابراهیمی به موقع تحویل دادن بهمون","سالاد سزار با مرغ سوخاری پنیری"
"سعید","۵","خوب بود","پیتزا مخلوط ۲۳ سانتی متری"
"فاطمه‌","۵","خیلی خوب بود ممنونم از آقای ابراهیمی پیک محترم و با اخلاق","استرامبولی چیکن آلفردو"
"آزاده","۴","خوب بود هم غذا هم تحویل سفارش","چیکن کریسپی با پنیر گودا"
"ف","۵","گرم عالی با کیفیت و پیک بسیار محترم و خوش برخورد.","استرامبولی چیکن آلفردو"
"Aydin","۱","قارچ و گوشت بی مزه و بی نمک
پنیر کم و بی کیفیت","پیتزا پپرونی ۲۳ سانتی متری"
"کیانی","۳","برگر سرد بود؛ سس زیاد داشت و  مزه ی سس سفید بر برگر غالب بود","فرش چیز برگر"
"Elham","۴","کیفیت مثل همیشه عالی بود و به موقع به دستمون رسید.","استرامبولی ژامبون پنیری"
"الهه","۴","طعمش مثل همیشه خوب بود ولی حجم سیب زمینی هر دفعه کمتر میشود با توجه به اینکه هر دفعه قیمت تغییر میکند. حداقل حجم سفارش را کم نکنید ممنون","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"حمید","۴","میخوام تشکر ویژه ای داشته باشم از پیک مجموعه که تو شرایط بارانی و‌ ترافیک غذا رو به موقع و داغ تحویل داد خیلی خوش اخلاق و با احترام بودن موفق باشن امیدوارم مجموعه زحماتشون رو قدر بدونن","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"راشین","۵","عالی","استرامبولی رست بیف"
"نگین","۵","عالی","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"ليلا","۵","ااقاي ابراهيمي پيك بسته بسيار ادم محترم وبا شخصيتي بودن","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"محمد","۵","تشکر ویژه از پیک محترم آقای بابایی که انقدر خوش اخلاق و خوش انرژی بسته رو تحویل دادن","پیتزا اسپشیال پلاس (۳۰ سانتی متری)"
"الهام","۵","مثل همیشه عالی بود","پیتزا مرغ (۲۳ سانتی‌ متری)"
"بهزاد","۵","رفتار پیک و زمان رسیدنش خیلی خیلی عالی بود
کیفیت غذاش هم خوب بود","نوشابه خانواده کوکا کولا"
"سهند","۵","از معدود رستوران هایی که کیفیتشون نوسان نداشته و همیشه عالی بودن 
سپاس فراوان","پیتزا کویین (۲۳ سانتی‌ متری)"
"Ali","۵","بسیار عالی و خوش طعم هست من استرامبولی استیک و فرش برگر گرفتم و یه سری توضیحات هم زنگ زدم بهشون دادم که همگی درست انجام شد و رفتار محترمانه داشتند فقط سیب زمینی چون بخار کرده بود نرم شده بود و ترد بودنش رو از دست داده بود که البته این مورد رو هرجا من سفارش میدم همین مشکل هست و سیب‌زمینی تا برسه نرم میشه ولی درکل خیلی خوب بود","سیب زمینی سرخ شده"
"مونا","۵","عالی","پیتزا کویین (۳۰ سانتی‌ متری)"
"ازاده","۵","هم تحویل دهی عالی و مودب بودن هم پیتزا کیفیت خوبی داشت و راضی بودم ممنون پر برکت باشید‌","پیتزا پپرونی (۲۳ سانتی‌ متری)"
"لیلا","۵","به پیک امتیاز عالی می دم","پیتزا مرغ (۳۰ سانتی‌ متری)"
"ایوالفضل","۵","مثل همیشه عالی بود","استرامبولی دونر استیک پنیری"
"امیر","۴","قیمت خیلی بالا بود","استرامبولی هات چیکن"
"احمد","۵","عالی","پیتزا کویین (۳۰ سانتی‌ متری)"
"بهزاد","۴","سایز پیتزا کوچیک بود ولی کیفیتش خیلی خوب بود","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"شهریار","۳","به نسبت هزینه ، حجم غذا کم بود","چیکن چیز هات پلاس"
"محمد","۵","پیک زودتر از موعد تحویل رسید،اینکه پیک مجموعه شیلا پیتزاها رو داخل کیف مخصوص گرم نگهدارنده گذاشته بودند نشان دهنده ی احترام به حقوق مشتری و حرفه ایی بودنشون هستش، مواد پیتزا تازه و خمیر پیتزا دست ساز و درجه یک بود،  پر رزق و روزی باشید.","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"موسی","۵","همه چی خوب بود ، فقط پنیر یکم بوی چربی میداد
با تشکر از آقای ابراهیمی","پیتزا مرغ (۳۰ سانتی‌ متری)"
"فاطمه","۵","کیفیت بالا، قیمت مناسب و ارسال سریع","استرامبولی دونر استیک پنیری"
"samira","۳","سالاد سزار گوجه و نان تست سیر و کره نداشت","سالاد سزار با مرغ سوخاری پنیری"
"احمد","۵","عالی مثل همیشه","چیکن چیز کلاسیک"
"محراب","۵","از همه نظر عالی بود و همچنین آقای ابراهیمی فردی با اخلاق و موظفی هستن","پیتزا کویین ۳۰ سانتی متری"
"دانیال","۱","پیتزا بصورت گرم شده ارسال شد و متاسفانه قابل خوردن نبود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"سهیل","۵","اقای ابراهیمی دستت درد نکنه","پیتزا کویین (۳۰ سانتی‌ متری)"
"ازاده","۵","عالی","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"Arezoo","۵","ممنونم از آقای ابراهیمی که با روی خوش سفارشم رو زحمت کشیدن و تحویل دادن","چیکن استریپس"
"مهسا","۵","خوشمزه و داغ بود","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"ساناز","۲","یکم شور بود متاسفانه","پاسترونی چیکن آلفردو"
"محمدحسین","۱","خمیر بسیار نامطلوب و به عمل نیامده بود و از متریال پایین استفاده شده بود در نتیجه با توجه به قیمت اصلا پیشنهاد نمیشود","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"محمد","۵","اول از همه از آقای ابراهیمی پیک مجموعه تشکر میکنم رفتار محترمانه ای داشتند همچنین از فست فود شیلا بخاطر طعم خوب و رعایت بهداشت و بسته بندی","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"سهند","۵","تاحالا نشده از شیلای این شعبه سفارش بدم غذام دیر یا سرد برسه دستم ، همیشه گرم رسیده ...سپاس فراوان","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"میلاد","۵","با کیفیت و پرملات","استرامبولی چیکن آلفردو"
"مژده","۵","عالي","فرش چیز برگر"
"نسيم","۵","شیلا مثل همیشه عالی و با کیفیت...
مهمتر از همه منش و برخورد پیک محترم جناب ابراهیمی که بسیار وقت شناس ، مهربان و خوش برخورد هستند","پاسترونی چیکن آلفردو"
"رضا","۵","آقای ابراهیمی پیک محترم ازشون تشکر میکنم، غذا رو داف و به موقع فرستادن","استرامبولی رست بیف"
"اسماعیل","۵","فقط خواهشا همیشه ته کوجه رو بگیرید یعنی اون قسمت سبزش که تو ساندویچ بود که خیلی بده","ساندویچ کراکف"
"مژده","۵","عالي","فرش چیز برگر"
"سید جواد","۳","طعم غذا مثل همیشه نبود و خوب مزه دار نشده بود
حجم سیب زمینی به نسبت همیشه کمتر بود","استرامبولی دونر استیک پنیری"
"leila","۵","مرسی از اینکه غذارو گرم آوردن و اینکه تشکر ویژه از پیک محترم آقای ابراهیمی خسته نباشن واقعا","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"محمد","۵","شکر  همه چی خوب ....","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"مهدیه","۱","قبلا خرید کرده بودم و خیلی راضی بودم.اما این سری فوق العاده بد بود بجای مرغ طعم‌دار ژامبون بود و اصلا انتظار این کارو از شیلا نداشتم","استرامبولی مرغ و اسفناج پنیری"
"اعظم","۴","خیلی سرد بود","پیتزا کویین (۳۰ سانتی‌ متری)"
"الهه","۴","طعم مثل همیشه خوب ولی حجم سیب زمینی هر دفعه کمتر میشود حتی با عکس روی سفارش داخل کاملا از نصف کمتر شده من همیشه این سفارش رو دارم حداقل ماهی یکبار و تغییر حجم سیب زمینی کاملا محسوس هست","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"سمیه","۵","خوشمزه و گرم مثل هميشه","پیتزا فیتکس مخلوط ۱۰*۲۳ سانتی متری"
"پیمان","۵","عالی مثل همیشه","پاسترونی گوشت و پنیر"
"کتایون","۵","عالی و خوشمزه، سریع و داغ دستمون رسید","فرش چیز برگر"
"سامره","۵","بسیار عالی و خوشمزه و برخورد پیک هم عالی عالی  ممنون از شما","استرامبولی استیک پنیری"
"سمیه","۵","عالی","سالاد سزار با مرغ گریل"
"فاطمه","۵","ممنون از آقای ابراهیمیان","پیتزای فیتکس پپرونی ۱۰*۲۳ سانتی متری"
"امیل","۴","همه چی عالی بود و زودتر از موقع رسید، ولی سالاد سزار رو لطفاً کاهو هاشو بیشتر خورد کنید یه پر کاهو رو از وسط نصف کردین فقط.","سالاد سزار با مرغ گریل"
"مسعود","۵","طعم عالی","استرامبولی چیکن آلفردو"
"سمانه","۵","مثل همیشه عالی","سیب زمینی سرخ شده"
"سمیه","۵","عالی مثل همیشه","سالاد سزار با مرغ گریل"
"محسن","۵","مثل همیشه عالی 
با تشکر از پیک خوب و خوش اخلاقتون آقای ابراهیمی عزیز","استرامبولی رست بیف"
"سمیه","۵","شیلا حرف نداره. بهترین کیفیت. قیمت مناسب. تحویل سریع. عالی.","سالاد سزار با مرغ گریل"
"ساناز","۵","ممنون از آقای ابراهیمی عالییییییییی","سیب زمینی سرخ شده"
"مارال","۵","مثل همیشه عاای درجه یک","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"هما","۵","خیلی خوشمزه و عالی بود و گرم و به موقع رسید","پیتزا فیتکس پپرونی ۲۳*۱۰ سانتی متری"
"فردین","۵","پیکشون اقای ابراهیمی واقعا خوش اخلاق و با ادب بودن 
غذا هم درجه یک","ساندویچ هات داگ مکزیکن"
"نسیم","۵","سلام عالیییی بود ...ممنون به موقع حجم مناسب قیمت و کیفیت عالی ...بازم ممنوووووون","فرش چیز برگر"
"ماها","۵","کیفیت عالی .پیک اقای ابراهینب فوق العاده خوش  برخورد","پیتزا مخلوط (۳۰ سانتی‌ متری)"
