"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"shiva","۵","بسیار عالی و خوشمزه","کمبو شیلا"
"سحر","۵","پیتزای خوبی بود بسته بندی خوبی داشت.","پیتزا مرغ (۳۰ سانتی‌ متری)"
"مرجان","۲","همبرگر سرد و نپخته بود و بوی بد گوشت میداد","استرامبولی چیکن آلفردو"
"داود","۵","عالی بود!","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"سمانه","۳","ساندویچ هاتون رو هم کوچیک و هم نامناسب بسته بندی می کنید. داخل اون یکبار مصرف ها رو بخار میگیره نون ساندویچ مرطوب میشه اصن خوب نیست","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"کاظم","۴","هزینه پیک زیاد از شیلا به کوچه یارمحمدی که ۱۰۰قدم فاصله داره و چندین بار هم گفتیم هیچ ترتیب اثری ندادن","ساندویچ هات داگ با پنیر گودا"
"لیلا","۵","خوشبختانه رستوران کم بود سفارش را جبران کرد","کمبو چیز"
"بنفشه","۳","چند وقتیه که پشت سرهم سالاد سزار سفارش میدم و مرغها رو به خاطر رژیمم وزن میکنم، هر سری هم کم میشه. مرغی که امروز در سالاد سزار داشتم، ۶۰ گرم بود. درصورتیکه بقیه‌ی رستورانها توی سالاد سزارشون ۱۰۰-۱۲۰ گرم مرغ گریل دارند. از شیلا بعیده واقعا.","سالاد سزار با مرغ گریل"
"رضا رضايى","۱","پیتزا به نحوی له و لورده شده بود که بیشتر شبیه به آش بود تا پیتزا، کاملا مچاله شده بود، بماند که بخش زیادی از پنیر چسبیده بود به جعبه… فقط بخاطر اینکه از سال ۹۶ مشتری شیلا هستم و در اکثر موارد کاملا راضی بودم نیومدم این شاهکار رو به شعبه مجیدیه تحویل بدم.
 نمیتونم بپذیرم مشکل از پیک بوده چون بسته بندی سالم بود. واقعا همچین اتفاقی از شعبه شیلا بعیده.","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"صدف شکری","۱","شور بود تمامش به کاغذ چسبیده بود","سیب زمینی سرخ شده ساده"
"امیر جوزانی","۴","اینقدری که میگفتن خوب نبود.. انتظارم بیشتر بود.","سالاد سزار با مرغ گریل"
